paragraph,stemmed,tokenized,stemmed_and_tokenized,posting_list,posting_list_tokenized,posting_list_stemmed
"Page
SECTION A — THIRD PARTY LIABILITY
Bodily Injuries and Damage to Other People’s Property 1
Additional Agreements of Insurer 1
Agreements of Insured  2",page section a — third parti liabil bodili injuri and damag to other peopl properti 1 addit agreement of insur 1 agreement of insur 2,"page 
 section a — THIRD PARTY LIABILITY 
 Bodily Injuries and damage to other People ’s property 1 
 additional agreement of Insurer 1 
 agreement of Insured   2",page section a — third parti liabil bodili injuri and damag to other peopl properti 1 addit agreement of insur 1 agreement of insur 2,"['1', '1', '2', 'Bodily', 'Injuries', 'Insured', 'Insurer', 'LIABILITY', 'PARTY', 'People', 'THIRD', 'a', 'additional', 'agreement', 'agreement', 'and', 'damage', 'of', 'of', 'other', 'page', 'property', 'section', 'to', '—', '’s']","['1', '1', '2', 'a', 'additional', 'agreement', 'agreement', 'and', 'bodily', 'damage', 'injuries', 'insured', 'insurer', 'liability', 'of', 'of', 'other', 'page', 'party', 'people', 'property', 'section', 'third', 'to', '—', '’s']","['1', '1', '2', 'a', 'addit', 'agreement', 'agreement', 'and', 'bodili', 'damag', 'injuri', 'insur', 'insur', 'liabil', 'of', 'of', 'other', 'page', 'parti', 'peopl', 'properti', 'section', 'third', 'to', '—']"
"SECTION B — ACCIDENT BENEFITS
Subsection 1 — Medical Rehabilitation and Funeral Expensesiy
Subsection 2 — Death Benefits and Loss of Income Payments
Special Provisions Definitions and Exclusion",section b — accid benefit subsect 1 — medic rehabilit and funer expensesiy subsect 2 — death benefit and loss of incom payment special provis definit and exclus,"SECTION B — accident benefit 
 Subsection 1 — Medical Rehabilitation and Funeral Expensesiy 
 Subsection 2 — Death Benefits and Loss of Income Payments 
 Special Provisions Definitions and exclusion",section b — accid benefit subsect 1 — medic rehabilit and funer expensesiy subsect 2 — death benefit and loss of incom payment special provis definit and exclus,"['1', '2', 'B', 'Benefits', 'Death', 'Definitions', 'Expensesiy', 'Funeral', 'Income', 'Loss', 'Medical', 'Payments', 'Provisions', 'Rehabilitation', 'SECTION', 'Special', 'Subsection', 'Subsection', 'accident', 'and', 'and', 'and', 'benefit', 'exclusion', 'of', '—', '—', '—']","['1', '2', 'accident', 'and', 'and', 'and', 'b', 'benefit', 'benefits', 'death', 'definitions', 'exclusion', 'expensesiy', 'funeral', 'income', 'loss', 'medical', 'of', 'payments', 'provisions', 'rehabilitation', 'section', 'special', 'subsection', 'subsection', '—', '—', '—']","['1', '2', 'accid', 'and', 'and', 'and', 'b', 'benefit', 'benefit', 'death', 'definit', 'exclus', 'expensesiy', 'funer', 'incom', 'loss', 'medic', 'of', 'payment', 'provis', 'rehabilit', 'section', 'special', 'subsect', 'subsect', '—', '—', '—']"
"Subsection 2 — Collision or Upset 
Subsection 3 — Comprehen a i
Subsection 4 — Specified Peri hE
Deductible Clause ima",subsect 2 — collis or upset subsect 3 — comprehen a i subsect 4 — specifi peri he deduct claus ima,"subsection 2 — collision or Upset 
 Subsection 3 — Comprehen a i 
 Subsection 4 — specify Peri hE 
 Deductible Clause I m a",subsect 2 — collis or upset subsect 3 — comprehen a I subsect 4 — specifi peri he deduct claus I m a,"['2', '3', '4', 'Clause', 'Comprehen', 'Deductible', 'I', 'Peri', 'Subsection', 'Subsection', 'Upset', 'a', 'a', 'collision', 'hE', 'i', 'm', 'or', 'specify', 'subsection', '—', '—', '—']","['2', '3', '4', 'a', 'a', 'clause', 'collision', 'comprehen', 'deductible', 'he', 'i', 'i', 'm', 'or', 'peri', 'specify', 'subsection', 'subsection', 'subsection', 'upset', '—', '—', '—']","['2', '3', '4', 'a', 'claus', 'collis', 'comprehen', 'deduct', 'he', 'i', 'ima', 'or', 'peri', 'specifi', 'subsect', 'subsect', 'subsect', 'upset', '—', '—', '—']"
"Now therefore in consideration of the payment of the premium specified and
of the statements contained in the application and subject to the limits
terms conditions provisions definitions and exclusions herein stated
and subject always to the condition that the Insurer shall be liable only under
the sections or subsections of the following Insuring Agreements A B C
and D for which a premium is specified in Item 4 of the application and no
other",now therefor in consider of the payment of the premium specifi and of the statement contain in the applic and subject to the limit term condit provis definit and exclus herein state and subject alway to the condit that the insur shall be liabl onli under the section or subsect of the follow insur agreement a b c and d for which a premium is specifi in item 4 of the applic and no other,"now therefore in consideration of the payment of the premium specify and 
 of the statement contain in the application and subject to the limit 
 term condition provision definition and exclusion herein state 
 and subject always to the condition that the Insurer shall be liable only under 
 the section or subsection of the follow Insuring Agreements A b c 
 and d for which a premium be specify in Item 4 of the application and no 
 other",now therefor in consider of the payment of the premium specifi and of the statement contain in the applic and subject to the limit term condit provis definit and exclus herein state and subject alway to the condit that the insur shall be liabl onli under the section or subsect of the follow insur agreement a b c and d for which a premium be specifi in item 4 of the applic and no other,"['4', 'A', 'Agreements', 'Insurer', 'Insuring', 'Item', 'a', 'always', 'and', 'and', 'and', 'and', 'and', 'and', 'application', 'application', 'b', 'be', 'be', 'c', 'condition', 'condition', 'consideration', 'contain', 'd', 'definition', 'exclusion', 'follow', 'for', 'herein', 'in', 'in', 'in', 'liable', 'limit', 'no', 'now', 'of', 'of', 'of', 'of', 'of', 'only', 'or', 'other', 'payment', 'premium', 'premium', 'provision', 'section', 'shall', 'specify', 'specify', 'state', 'statement', 'subject', 'subject', 'subsection', 'term', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'therefore', 'to', 'to', 'under', 'which']","['4', 'a', 'a', 'agreements', 'always', 'and', 'and', 'and', 'and', 'and', 'and', 'application', 'application', 'b', 'be', 'be', 'c', 'condition', 'condition', 'consideration', 'contain', 'd', 'definition', 'exclusion', 'follow', 'for', 'herein', 'in', 'in', 'in', 'insurer', 'insuring', 'item', 'liable', 'limit', 'no', 'now', 'of', 'of', 'of', 'of', 'of', 'only', 'or', 'other', 'payment', 'premium', 'premium', 'provision', 'section', 'shall', 'specify', 'specify', 'state', 'statement', 'subject', 'subject', 'subsection', 'term', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'therefore', 'to', 'to', 'under', 'which']","['4', 'a', 'a', 'agreement', 'alway', 'and', 'and', 'and', 'and', 'and', 'and', 'applic', 'applic', 'b', 'be', 'c', 'condit', 'condit', 'consider', 'contain', 'd', 'definit', 'exclus', 'follow', 'for', 'herein', 'in', 'in', 'in', 'insur', 'insur', 'is', 'item', 'liabl', 'limit', 'no', 'now', 'of', 'of', 'of', 'of', 'of', 'onli', 'or', 'other', 'payment', 'premium', 'premium', 'provis', 'section', 'shall', 'specifi', 'specifi', 'state', 'statement', 'subject', 'subject', 'subsect', 'term', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'therefor', 'to', 'to', 'under', 'which']"
"The insurer agrees to indemnify the Insured and in the same manner and to
the same extent as if named herein as the Insured avery other person who
with the Insured’s consent parsonally drives the automobile or personally
operates any part thereof against the liability imposed by law upon the
Insured or upon any such other person for loss or damage arising from the
ownership use or operation of the automobile and resulting from BODILY
INJURY TO OR DEATH OF ANY PERSON OR DAMAGE TO PROPERTY",the insur agre to indemnifi the insur and in the same manner and to the same extent as if name herein as the insur averi other person who with the insur consent parson drive the automobil or person oper ani part thereof against the liabil impos by law upon the insur or upon ani such other person for loss or damag aris from the ownership use or oper of the automobil and result from bodili injuri to or death of ani person or damag to properti,"the insurer agree to indemnify the Insured and in the same manner and to 
 the same extent as if name herein as the insure avery other person who 
 with the Insured ’s consent parsonally drive the automobile or personally 
 operate any part thereof against the liability impose by law upon the 
 insured or upon any such other person for loss or damage arise from the 
 ownership use or operation of the automobile and result from BODILY 
 INJURY to OR DEATH of any person OR damage to property",the insur agre to indemnifi the insur and in the same manner and to the same extent as if name herein as the insur averi other person who with the insur consent parson drive the automobil or person oper ani part thereof against the liabil impos by law upon the insur or upon ani such other person for loss or damag aris from the ownership use or oper of the automobil and result from bodili injuri to or death of ani person or damag to properti,"['BODILY', 'DEATH', 'INJURY', 'Insured', 'Insured', 'OR', 'OR', 'against', 'agree', 'and', 'and', 'and', 'any', 'any', 'any', 'arise', 'as', 'as', 'automobile', 'automobile', 'avery', 'by', 'consent', 'damage', 'damage', 'drive', 'extent', 'for', 'from', 'from', 'herein', 'if', 'impose', 'in', 'indemnify', 'insure', 'insured', 'insurer', 'law', 'liability', 'loss', 'manner', 'name', 'of', 'of', 'operate', 'operation', 'or', 'or', 'or', 'or', 'other', 'other', 'ownership', 'parsonally', 'part', 'person', 'person', 'person', 'personally', 'property', 'result', 'same', 'same', 'such', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'thereof', 'to', 'to', 'to', 'to', 'upon', 'upon', 'use', 'who', 'with', '’s']","['against', 'agree', 'and', 'and', 'and', 'any', 'any', 'any', 'arise', 'as', 'as', 'automobile', 'automobile', 'avery', 'bodily', 'by', 'consent', 'damage', 'damage', 'death', 'drive', 'extent', 'for', 'from', 'from', 'herein', 'if', 'impose', 'in', 'indemnify', 'injury', 'insure', 'insured', 'insured', 'insured', 'insurer', 'law', 'liability', 'loss', 'manner', 'name', 'of', 'of', 'operate', 'operation', 'or', 'or', 'or', 'or', 'or', 'or', 'other', 'other', 'ownership', 'parsonally', 'part', 'person', 'person', 'person', 'personally', 'property', 'result', 'same', 'same', 'such', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'thereof', 'to', 'to', 'to', 'to', 'upon', 'upon', 'use', 'who', 'with', '’s']","['against', 'agre', 'and', 'and', 'and', 'ani', 'ani', 'ani', 'aris', 'as', 'as', 'automobil', 'automobil', 'averi', 'bodili', 'by', 'consent', 'damag', 'damag', 'death', 'drive', 'extent', 'for', 'from', 'from', 'herein', 'if', 'impos', 'in', 'indemnifi', 'injuri', 'insur', 'insur', 'insur', 'insur', 'insur', 'law', 'liabil', 'loss', 'manner', 'name', 'of', 'of', 'oper', 'oper', 'or', 'or', 'or', 'or', 'or', 'or', 'other', 'other', 'ownership', 'parson', 'part', 'person', 'person', 'person', 'person', 'properti', 'result', 'same', 'same', 'such', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'thereof', 'to', 'to', 'to', 'to', 'upon', 'upon', 'use', 'who', 'with']"
"a for any liability imposed by any workers’ compensai
person insured by this section or
for loss or damage resulting from bodily injury to or
employes of any person insured by this section while
operation or repair of the automobile or",a for ani liabil impos by ani worker compensai person insur by this section or for loss or damag result from bodili injuri to or employ of ani person insur by this section while oper or repair of the automobil or,"a for any liability impose by any worker ’ compensai 
 person insure by this section or 
 for loss or damage result from bodily injury to or 
 employe of any person insure by this section while 
 operation or repair of the automobile or",a for ani liabil impos by ani worker compensai person insur by this section or for loss or damag result from bodili injuri to or employ of ani person insur by this section while oper or repair of the automobil or,"['a', 'any', 'any', 'any', 'automobile', 'bodily', 'by', 'by', 'by', 'compensai', 'damage', 'employe', 'for', 'for', 'from', 'impose', 'injury', 'insure', 'insure', 'liability', 'loss', 'of', 'of', 'operation', 'or', 'or', 'or', 'or', 'or', 'person', 'person', 'repair', 'result', 'section', 'section', 'the', 'this', 'this', 'to', 'while', 'worker', '’']","['a', 'any', 'any', 'any', 'automobile', 'bodily', 'by', 'by', 'by', 'compensai', 'damage', 'employe', 'for', 'for', 'from', 'impose', 'injury', 'insure', 'insure', 'liability', 'loss', 'of', 'of', 'operation', 'or', 'or', 'or', 'or', 'or', 'person', 'person', 'repair', 'result', 'section', 'section', 'the', 'this', 'this', 'to', 'while', 'worker', '’']","['a', 'ani', 'ani', 'ani', 'automobil', 'bodili', 'by', 'by', 'by', 'compensai', 'damag', 'employ', 'for', 'for', 'from', 'impos', 'injuri', 'insur', 'insur', 'liabil', 'loss', 'of', 'of', 'oper', 'or', 'or', 'or', 'or', 'or', 'person', 'person', 'repair', 'result', 'section', 'section', 'the', 'this', 'this', 'to', 'while', 'worker']"
"of notice of loss or damage caused to persons or property
person insured by this Policy by such investigation thereof or
ich negotiations with the claimant or by such settlement of any
resulting claims as may be deemed expedient by the Insurer and",of notic of loss or damag caus to person or properti person insur by this polici by such investig thereof or ich negoti with the claimant or by such settlement of ani result claim as may be deem expedi by the insur and,"of notice of loss or damage cause to person or property 
 person insure by this policy by such investigation thereof or 
 ich negotiation with the claimant or by such settlement of any 
 result claim as may be deem expedient by the Insurer and",of notic of loss or damag caus to person or properti person insur by this polici by such investig thereof or ich negoti with the claimant or by such settlement of ani result claim as may be deem expedi by the insur and,"['Insurer', 'and', 'any', 'as', 'be', 'by', 'by', 'by', 'by', 'cause', 'claim', 'claimant', 'damage', 'deem', 'expedient', 'ich', 'insure', 'investigation', 'loss', 'may', 'negotiation', 'notice', 'of', 'of', 'of', 'or', 'or', 'or', 'or', 'person', 'person', 'policy', 'property', 'result', 'settlement', 'such', 'such', 'the', 'the', 'thereof', 'this', 'to', 'with']","['and', 'any', 'as', 'be', 'by', 'by', 'by', 'by', 'cause', 'claim', 'claimant', 'damage', 'deem', 'expedient', 'ich', 'insure', 'insurer', 'investigation', 'loss', 'may', 'negotiation', 'notice', 'of', 'of', 'of', 'or', 'or', 'or', 'or', 'person', 'person', 'policy', 'property', 'result', 'settlement', 'such', 'such', 'the', 'the', 'thereof', 'this', 'to', 'with']","['and', 'ani', 'as', 'be', 'by', 'by', 'by', 'by', 'caus', 'claim', 'claimant', 'damag', 'deem', 'expedi', 'ich', 'insur', 'insur', 'investig', 'loss', 'may', 'negoti', 'notic', 'of', 'of', 'of', 'or', 'or', 'or', 'or', 'person', 'person', 'polici', 'properti', 'result', 'settlement', 'such', 'such', 'the', 'the', 'thereof', 'this', 'to', 'with']"
"2 defend in the name and on behalf of any person insured by this Policy
and at the cost of the Insurer any civil action which may at any time be
brought against such person on account of such loss or damage to
persons or property and",2 defend in the name and on behalf of ani person insur by this polici and at the cost of the insur ani civil action which may at ani time be brought against such person on account of such loss or damag to person or properti and,"2 defend in the name and on behalf of any person insure by this policy 
 and at the cost of the Insurer any civil action which may at any time be 
 bring against such person on account of such loss or damage to 
 person or property and",2 defend in the name and on behalf of ani person insur by this polici and at the cost of the insur ani civil action which may at ani time be bring against such person on account of such loss or damag to person or properti and,"['2', 'Insurer', 'account', 'action', 'against', 'and', 'and', 'and', 'any', 'any', 'any', 'at', 'at', 'be', 'behalf', 'bring', 'by', 'civil', 'cost', 'damage', 'defend', 'in', 'insure', 'loss', 'may', 'name', 'of', 'of', 'of', 'on', 'on', 'or', 'or', 'person', 'person', 'person', 'policy', 'property', 'such', 'such', 'the', 'the', 'the', 'this', 'time', 'to', 'which']","['2', 'account', 'action', 'against', 'and', 'and', 'and', 'any', 'any', 'any', 'at', 'at', 'be', 'behalf', 'bring', 'by', 'civil', 'cost', 'damage', 'defend', 'in', 'insure', 'insurer', 'loss', 'may', 'name', 'of', 'of', 'of', 'on', 'on', 'or', 'or', 'person', 'person', 'person', 'policy', 'property', 'such', 'such', 'the', 'the', 'the', 'this', 'time', 'to', 'which']","['2', 'account', 'action', 'against', 'and', 'and', 'and', 'ani', 'ani', 'ani', 'at', 'at', 'be', 'behalf', 'brought', 'by', 'civil', 'cost', 'damag', 'defend', 'in', 'insur', 'insur', 'loss', 'may', 'name', 'of', 'of', 'of', 'on', 'on', 'or', 'or', 'person', 'person', 'person', 'polici', 'properti', 'such', 'such', 'the', 'the', 'the', 'this', 'time', 'to', 'which']"
"pay all costs taxed against any person insured by this Policy in any civil
action defended by the Insurer and any interest accruing after entry of
judgment upon that part of the judgment which is within the limits of the
insurers liability and",pay all cost tax against ani person insur by this polici in ani civil action defend by the insur and ani interest accru after entri of judgment upon that part of the judgment which is within the limit of the insur liabil and,"pay all cost tax against any person insure by this policy in any civil 
 action defend by the Insurer and any interest accrue after entry of 
 judgment upon that part of the judgment which be within the limit of the 
 insurer liability and",pay all cost tax against ani person insur by this polici in ani civil action defend by the insur and ani interest accru after entri of judgment upon that part of the judgment which be within the limit of the insur liabil and,"['Insurer', 'accrue', 'action', 'after', 'against', 'all', 'and', 'and', 'any', 'any', 'any', 'be', 'by', 'by', 'civil', 'cost', 'defend', 'entry', 'in', 'insure', 'insurer', 'interest', 'judgment', 'judgment', 'liability', 'limit', 'of', 'of', 'of', 'part', 'pay', 'person', 'policy', 'tax', 'that', 'the', 'the', 'the', 'the', 'this', 'upon', 'which', 'within']","['accrue', 'action', 'after', 'against', 'all', 'and', 'and', 'any', 'any', 'any', 'be', 'by', 'by', 'civil', 'cost', 'defend', 'entry', 'in', 'insure', 'insurer', 'insurer', 'interest', 'judgment', 'judgment', 'liability', 'limit', 'of', 'of', 'of', 'part', 'pay', 'person', 'policy', 'tax', 'that', 'the', 'the', 'the', 'the', 'this', 'upon', 'which', 'within']","['accru', 'action', 'after', 'against', 'all', 'and', 'and', 'ani', 'ani', 'ani', 'by', 'by', 'civil', 'cost', 'defend', 'entri', 'in', 'insur', 'insur', 'insur', 'interest', 'is', 'judgment', 'judgment', 'liabil', 'limit', 'of', 'of', 'of', 'part', 'pay', 'person', 'polici', 'tax', 'that', 'the', 'the', 'the', 'the', 'this', 'upon', 'which', 'within']"
"in case the injury be to a person reimburse any person insured by this
Polley for outlay for such medical ald as may be Immediately necessary
at the time of such injury and",in case the injuri be to a person reimburs ani person insur by this polley for outlay for such medic ald as may be immedi necessari at the time of such injuri and,"in case the injury be to a person reimburse any person insure by this 
 Polley for outlay for such medical ald as may be immediately necessary 
 at the time of such injury and",in case the injuri be to a person reimbur ani person insur by this polley for outlay for such medic ald as may be immedi necessari at the time of such injuri and,"['Polley', 'a', 'ald', 'and', 'any', 'as', 'at', 'be', 'be', 'by', 'case', 'for', 'for', 'immediately', 'in', 'injury', 'injury', 'insure', 'may', 'medical', 'necessary', 'of', 'outlay', 'person', 'person', 'reimburse', 'such', 'such', 'the', 'the', 'this', 'time', 'to']","['a', 'ald', 'and', 'any', 'as', 'at', 'be', 'be', 'by', 'case', 'for', 'for', 'immediately', 'in', 'injury', 'injury', 'insure', 'may', 'medical', 'necessary', 'of', 'outlay', 'person', 'person', 'polley', 'reimburse', 'such', 'such', 'the', 'the', 'this', 'time', 'to']","['a', 'ald', 'and', 'ani', 'as', 'at', 'be', 'be', 'by', 'case', 'for', 'for', 'immedi', 'in', 'injuri', 'injuri', 'insur', 'may', 'medic', 'necessari', 'of', 'outlay', 'person', 'person', 'polley', 'reimburs', 'such', 'such', 'the', 'the', 'this', 'time', 'to']"
