paragraph,stemmed,tokenized
"THIS
POLICY
BOOKLET
WITH
THE
DECLARATIONS
CERTIFICATE
AND
ENDORSEMENTS IF ANY ISSUED TO FORM A
PART THEREOF COMPLETES THIS POLICY",this polici booklet with the declar certif and endors if ani issu to form a part thereof complet this polici,"this 
 POLICY 
 BOOKLET 
 with 
 the 
 declaration 
 certificate 
 and 
 endorsement if any issued to form a 
 part THEREOF COMPLETES this policy"
"SECTION I – PROPERTY COVERAGES
COVERAGE A – DWELLING
COVERAGE B – OTHER STRUCTURES
COVERAGE C – PERSONAL PROPERTY
COVERAGE D – LOSS OF USE
What Property Is Covered – Coverage A and Coverage B
8
What Property Is Not Covered – Coverage A and Coverage B
8
What Property Is Covered – Coverage C
9
What Property Is Covered Subject to Individual Limit of Liability –
Coverage C
10
What Property Is Not Covered – Coverage C
12
What Property Is Covered – Coverage D
14
Other Coverages – Section I
16
What Losses Are Covered – Section I
27
What Losses Are Not Covered – Exclusions  Section I
27
Conditions – Section I
38",section i – properti coverag coverag a – dwell coverag b – other structur coverag c – person properti coverag d – loss of use what properti is cover – coverag a and coverag b 8 what properti is not cover – coverag a and coverag b 8 what properti is cover – coverag c 9 what properti is cover subject to individu limit of liabil – coverag c 10 what properti is not cover – coverag c 12 what properti is cover – coverag d 14 other coverag – section i 16 what loss are cover – section i 27 what loss are not cover – exclus section i 27 condit – section i 38,"section i – property coverage 
 coverage a – dwelling 
 coverage b – other STRUCTURES 
 COVERAGE c – personal property 
 COVERAGE d – loss of USE 
 what property be cover – coverage A and Coverage B 
 8 
 what property be not cover – coverage A and Coverage B 
 8 
 what property be cover – coverage c 
 9 
 what property be cover Subject to Individual Limit of Liability – 
 Coverage c 
 10 
 what property be not cover – coverage c 
 12 
 what property be cover – coverage d 
 14 
 other Coverages – section i 
 16 
 what loss be cover – section i 
 27 
 what loss be not cover – Exclusions   Section i 
 27 
 Conditions – Section I 
 38"
"SECTION II – LIABILITY COVERAGES
COVERAGE E – PERSONAL LIABILITY
COVERAGE F – MEDICAL PAYMENTS TO OTHERS",section ii – liabil coverag coverag e – person liabil coverag f – medic payment to other,"SECTION II – LIABILITY coverage 
 coverage e – PERSONAL LIABILITY 
 COVERAGE F – MEDICAL payment to other"
"What Losses Are Covered – Coverage E
What Losses Are Covered – Coverage F
What Losses Are Not Covered – Exclusions  Section II
Additional Payments – Section II
Conditions – Section II
SECTION III – GENERAL PROVISIONS
AAA Membership Requirement
Bankruptcy
Changes and Liberalization
Concealment or Misrepresentation
Inflation Guard
Policy Period
Statements in the Application For Insurance
Subrogation",what loss are cover – coverag e what loss are cover – coverag f what loss are not cover – exclus section ii addit payment – section ii condit – section ii section iii – general provis aaa membership requir bankruptci chang and liber conceal or misrepresent inflat guard polici period statement in the applic for insur subrog,"what loss be cover – coverage e 
 what loss be cover – coverage f 
 what loss be not cover – exclusion   Section II 
 additional Payments – Section ii 
 Conditions – Section ii 
 SECTION III – GENERAL provision 
 AAA Membership Requirement 
 Bankruptcy 
 Changes and liberalization 
 Concealment or misrepresentation 
 Inflation Guard 
 Policy Period 
 statement in the application for Insurance 
 subrogation"
"AGREEMENT
We will provide the insurance you have selected in
return for the premium due us and your compliance
with all policy provisions Your declarations page
shows the policy period the premises to which this
insurance applies the coverages and limits you have
chosen and your premium Insurance under this
policy is provided only for the coverages stated in the
declarations The declarations page is part of this
policy",agreement we will provid the insur you have select in return for the premium due us and your complianc with all polici provis your declar page show the polici period the premis to which this insur appli the coverag and limit you have chosen and your premium insur under this polici is provid onli for the coverag state in the declar the declar page is part of this polici,"AGREEMENT 
 we will provide the insurance you have select in 
 return for the premium due we and your compliance 
 with all policy provision your declaration page 
 show the policy period the premise to which this 
 insurance apply the coverage and limit you have 
 choose and your premium insurance under this 
 policy be provide only for the coverage state in the 
 declaration the declaration page be part of this 
 policy"
"Throughout this policy certain words and phrases
have a defined meaning when printed in bold type
We us or our means the Auto Club Family
Insurance Company",throughout this polici certain word and phrase have a defin mean when print in bold type we us or our mean the auto club famili insur compani,"throughout this policy certain word and phrase 
 have a define meaning when print in bold type 
 we we or our mean the Auto Club Family 
 Insurance company"
"You or your means any insured named in the
declarations If there is only one insured named in
the declarations and that insured is a natural person
you or your includes that person’s spouse if that
spouse lives in the same household on a regular
continuous and permanent basis",you or your mean ani insur name in the declar if there is onli one insur name in the declar and that insur is a natur person you or your includ that person spous if that spous live in the same household on a regular continu and perman basi,"you or your mean any insure name in the 
 declaration if there be only one insure name in 
 the declaration and that insure be a natural person 
 you or your include that person ’s spouse if that 
 spouse live in the same household on a regular 
 continuous and permanent basis"
"Actual cash value – means the amount it would cost
to repair or replace covered property at the time of
loss or damage with material of like kind and quality
subject to a deduction for physical deterioration
depreciation and obsolescence Actual cash value
applies to valuation of covered property regardless of
whether that property has sustained partial or total
loss or damage The actual cash value of the lost or
damaged property may be significantly less than its
replacement value
Bodily injury – means bodily harm bodily sickness
or bodily disease including death that results Bodily
injury does not include damages for mental anguish
emotional distress or similar damages unless such",actual cash valu – mean the amount it would cost to repair or replac cover properti at the time of loss or damag with materi of like kind and qualiti subject to a deduct for physic deterior depreci and obsolesc actual cash valu appli to valuat of cover properti regardless of whether that properti has sustain partial or total loss or damag the actual cash valu of the lost or damag properti may be signific less than it replac valu bodili injuri – mean bodili harm bodili sick or bodili diseas includ death that result bodili injuri doe not includ damag for mental anguish emot distress or similar damag unless such,"actual cash value – mean the amount it would cost 
 to repair or replace cover property at the time of 
 loss or damage with material of like kind and quality 
 subject to a deduction for physical deterioration 
 depreciation and obsolescence actual cash value 
 applie to valuation of covered property regardless of 
 whether that property have sustain partial or total 
 loss or damage the actual cash value of the lost or 
 damage property may be significantly less than its 
 replacement value 
 bodily injury – mean bodily harm bodily sickness 
 or bodily disease include death that result bodily 
 injury do not include damage for mental anguish 
 emotional distress or similar damage unless such"
"damages are directly caused by actual physical injury
to the person claiming damages
Business – means any full or part time activity from
which any insured may derive an economic benefit
regardless of profit or loss Business includes but is
not limited to commercial enterprise trade hobby
profession occupation or employment or the renting
leasing or holding for rental or lease of any part of
any premises by any insured
If an insured provides home day care services to a
person or persons other than insureds and receives
monetary or other compensation for such services
that activity is a business Mutual exchange of home
day care services however is not considered
compensation The rendering of home day care
services by an insured to a relative of an insured is
not considered a business",damag are direct caus by actual physic injuri to the person claim damag busi – mean ani full or part time activ from which ani insur may deriv an econom benefit regardless of profit or loss busi includ but is not limit to commerci enterpris trade hobbi profess occup or employ or the rent leas or hold for rental or leas of ani part of ani premis by ani insur if an insur provid home day care servic to a person or person other than insur and receiv monetari or other compens for such servic that activ is a busi mutual exchang of home day care servic howev is not consid compens the render of home day care servic by an insur to a relat of an insur is not consid a busi,"damage be directly cause by actual physical injury 
 to the person claim damage 
 business – mean any full or part time activity from 
 which any insure may derive an economic benefit 
 regardless of profit or loss business include but be 
 not limit to commercial enterprise trade hobby 
 profession occupation or employment or the rent 
 leasing or hold for rental or lease of any part of 
 any premise by any insure 
 if an insure provide home day care service to a 
 person or person other than insured and receive 
 monetary or other compensation for such service 
 that activity be a business mutual exchange of home 
 day care service however be not consider 
 compensation the rendering of home day care 
 service by an insured to a relative of an insure be 
 not consider a business"
"Depreciation  means the lessening of the economic
value of any property because of age wear and tear
or obsolescence",depreci mean the lessen of the econom valu of ani properti becaus of age wear and tear or obsolesc,"depreciation   mean the lessening of the economic 
 value of any property because of age wear and tear 
 or obsolescence"
