paragraph,stemmed,tokenized,posting_list,posting_list_stemmed
"PROPERTY OWNERS INSURANCE POLICY
Welcome
Thank you for choosing Pen Underwriting to provide your Property Owners Insurance
This is Your Property Owners Insurance Policy Wording setting out Your insurance protection in detail
The Policy Wording must be read together with the Policy Schedule and Statement of Facts as one
document It is an important document so You should keep it somewhere safe – You will need it if You
need to make a claim
Please read it carefully to make sure that it meets Your
requirements and that the details on the Policy Schedule and
Statement of Facts are correct
Your premium has been based upon the information shown in the
Policy Schedule and recorded in Your Statement of Facts
If after reading Your Policy Wording You have any questions any
details are incorrect or the Policy does not provide the cover You
need then You must contact Your insurance adviser immediately",properti owner insur polici welcom thank you for choos pen underwrit to provid your properti owner insur this is your properti owner insur polici word set out your insur protect in detail the polici word must be read togeth with the polici schedul and statement of fact as one document it is an import document so you should keep it somewher safe – you will need it if you need to make a claim pleas read it care to make sure that it meet your requir and that the detail on the polici schedul and statement of fact are correct your premium has been base upon the inform shown in the polici schedul and record in your statement of fact if after read your polici word you have ani question ani detail are incorrect or the polici doe not provid the cover you need then you must contact your insur advis immedi,"property OWNERS INSURANCE POLICY 
 welcome 
 thank you for choose Pen underwriting to provide your Property Owners Insurance 
 this be your Property Owners Insurance Policy Wording set out your insurance protection in detail 
 the Policy Wording must be read together with the Policy Schedule and Statement of fact as one 
 document it be an important document so you should keep it somewhere safe – you will need it if you 
 need to make a claim 
 please read it carefully to make sure that it meet your 
 requirement and that the detail on the Policy Schedule and 
 Statement of fact be correct 
 your premium have be base upon the information show in the 
 Policy Schedule and record in your Statement of fact 
 if after read your Policy wording you have any question any 
 detail be incorrect or the Policy do not provide the cover you 
 need then you must contact your insurance adviser immediately","['a', 'adviser', 'after', 'an', 'and', 'and', 'and', 'and', 'any', 'any', 'as', 'base', 'be', 'be', 'be', 'be', 'be', 'be', 'carefully', 'choose', 'claim', 'contact', 'correct', 'cover', 'detail', 'detail', 'detail', 'do', 'document', 'document', 'fact', 'fact', 'fact', 'for', 'have', 'have', 'if', 'if', 'immediately', 'important', 'in', 'in', 'in', 'incorrect', 'information', 'insurance', 'insurance', 'insurance', 'insurance', 'insurance', 'it', 'it', 'it', 'it', 'it', 'keep', 'make', 'make', 'meet', 'must', 'must', 'need', 'need', 'need', 'not', 'of', 'of', 'of', 'on', 'one', 'or', 'out', 'owners', 'owners', 'owners', 'pen', 'please', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'premium', 'property', 'property', 'property', 'protection', 'provide', 'provide', 'question', 'read', 'read', 'read', 'record', 'requirement', 'safe', 'schedule', 'schedule', 'schedule', 'set', 'should', 'show', 'so', 'somewhere', 'statement', 'statement', 'statement', 'sure', 'thank', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'then', 'this', 'to', 'to', 'to', 'together', 'underwriting', 'upon', 'welcome', 'will', 'with', 'wording', 'wording', 'wording', 'you', 'you', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your', 'your', 'your', '–']","['a', 'advis', 'after', 'an', 'and', 'and', 'and', 'and', 'ani', 'ani', 'are', 'are', 'as', 'base', 'be', 'been', 'care', 'choos', 'claim', 'contact', 'correct', 'cover', 'detail', 'detail', 'detail', 'document', 'document', 'doe', 'fact', 'fact', 'fact', 'for', 'has', 'have', 'if', 'if', 'immedi', 'import', 'in', 'in', 'in', 'incorrect', 'inform', 'insur', 'insur', 'insur', 'insur', 'insur', 'is', 'is', 'it', 'it', 'it', 'it', 'it', 'keep', 'make', 'make', 'meet', 'must', 'must', 'need', 'need', 'need', 'not', 'of', 'of', 'of', 'on', 'one', 'or', 'out', 'owner', 'owner', 'owner', 'pen', 'pleas', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'premium', 'properti', 'properti', 'properti', 'protect', 'provid', 'provid', 'question', 'read', 'read', 'read', 'record', 'requir', 'safe', 'schedul', 'schedul', 'schedul', 'set', 'should', 'shown', 'so', 'somewher', 'statement', 'statement', 'statement', 'sure', 'thank', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'then', 'this', 'to', 'to', 'to', 'togeth', 'underwrit', 'upon', 'welcom', 'will', 'with', 'word', 'word', 'word', 'you', 'you', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your', 'your', 'your', '–']"
"Do
• Have details of Your policy number ready when notifying Us
You can find the policy number on the Schedule",do • have detail of your polici number readi when notifi us you can find the polici number on the schedul,"do 
 • have detail of your policy number ready when notify Us 
 you can find the policy number on the schedule","['can', 'detail', 'do', 'find', 'have', 'notify', 'number', 'number', 'of', 'on', 'policy', 'policy', 'ready', 'schedule', 'the', 'the', 'us', 'when', 'you', 'your', '•']","['can', 'detail', 'do', 'find', 'have', 'notifi', 'number', 'number', 'of', 'on', 'polici', 'polici', 'readi', 'schedul', 'the', 'the', 'us', 'when', 'you', 'your', '•']"
"Your insurance relates only to those sections of the Policy which
are shown in the Schedule as being INCLUDED",your insur relat onli to those section of the polici which are shown in the schedul as be includ,"your insurance relate only to those section of the Policy which 
 be show in the Schedule as be include","['as', 'be', 'be', 'in', 'include', 'insurance', 'of', 'only', 'policy', 'relate', 'schedule', 'section', 'show', 'the', 'the', 'those', 'to', 'which', 'your']","['are', 'as', 'be', 'in', 'includ', 'insur', 'of', 'onli', 'polici', 'relat', 'schedul', 'section', 'shown', 'the', 'the', 'those', 'to', 'which', 'your']"
"This Policy has been produced by Pen Underwriting Limited a
Managing General Agent of the Insurers stated in The Schedule
The Insurers have delegated authority to Pen Underwriting Limited
to underwrite Insurance and handle Claims for You on their behalf
For details of Pen Underwriting Limiteds Data Protection and",this polici has been produc by pen underwrit limit a manag general agent of the insur state in the schedul the insur have deleg author to pen underwrit limit to underwrit insur and handl claim for you on their behalf for detail of pen underwrit limit data protect and,"this policy have be produce by Pen Underwriting Limited a 
 manage General Agent of the Insurers state in the Schedule 
 the Insurers have delegate authority to Pen Underwriting Limited 
 to underwrite Insurance and handle claim for you on their behalf 
 for detail of Pen Underwriting Limiteds Data Protection and","['a', 'agent', 'and', 'and', 'authority', 'be', 'behalf', 'by', 'claim', 'data', 'delegate', 'detail', 'for', 'for', 'general', 'handle', 'have', 'have', 'in', 'insurance', 'insurers', 'insurers', 'limited', 'limited', 'limiteds', 'manage', 'of', 'of', 'on', 'pen', 'pen', 'pen', 'policy', 'produce', 'protection', 'schedule', 'state', 'the', 'the', 'the', 'their', 'this', 'to', 'to', 'underwrite', 'underwriting', 'underwriting', 'underwriting', 'you']","['a', 'agent', 'and', 'and', 'author', 'been', 'behalf', 'by', 'claim', 'data', 'deleg', 'detail', 'for', 'for', 'general', 'handl', 'has', 'have', 'in', 'insur', 'insur', 'insur', 'limit', 'limit', 'limit', 'manag', 'of', 'of', 'on', 'pen', 'pen', 'pen', 'polici', 'produc', 'protect', 'schedul', 'state', 'the', 'the', 'the', 'their', 'this', 'to', 'to', 'underwrit', 'underwrit', 'underwrit', 'underwrit', 'you']"
"Privacy Policies visit the Pen Underwriting website at
wwwpenunderwritingcouk
The insurer that is providing Your Property Owners Insurance
Policy will be shown on Your Policy Schedule",privaci polici visit the pen underwrit websit at wwwpenunderwritingcouk the insur that is provid your properti owner insur polici will be shown on your polici schedul,"Privacy Policies visit the Pen Underwriting website at 
 wwwpenunderwritingcouk 
 the insurer that be provide your Property Owners Insurance 
 policy will be show on your Policy Schedule","['at', 'be', 'be', 'insurance', 'insurer', 'on', 'owners', 'pen', 'policies', 'policy', 'policy', 'privacy', 'property', 'provide', 'schedule', 'show', 'that', 'the', 'the', 'underwriting', 'visit', 'website', 'will', 'wwwpenunderwritingcouk', 'your', 'your']","['at', 'be', 'insur', 'insur', 'is', 'on', 'owner', 'pen', 'polici', 'polici', 'polici', 'privaci', 'properti', 'provid', 'schedul', 'shown', 'that', 'the', 'the', 'underwrit', 'visit', 'websit', 'will', 'wwwpenunderwritingcouk', 'your', 'your']"
"or Damage by malicious persons to the police immediately
You should obtain a crime reference number not an incident
reference number from them if a crime has been committed
Carry out temporary repairs to the Property Insured to
prevent further loss Please retain all invoices for work
carried out Remember if You do not have Your own
contractor call the Business Emergency Assistance
telephone no on Your Schedule to arrange for an approved
contractor to effect repairs any time of the day or night
Notify Us of any claim or any incident which may lead to a
claim as soon as possible The sooner We are involved the
more opportunity We have to resolve the claim to Your
satisfaction You must notify Us within seven days if the
incident relates to Damage by riot civil commotion labour or
political disturbances malicious persons theft or attempted
theft
Ensure that any letter or notice received is sent to Us
immediately unanswered and unacknowledged You must
also send Us unanswered and unacknowledged any written
claim writ summons or other document relating to a claim
and tell Us of any pending prosecution coroner’s inquest or
fatal accident inquiry and give Us full details of any verbal
claims made against You
Any Bodily Injury to an Employee should be reported to Us
regardless of whether a formal claim has been made against
You We can then decide whether We need to investigate
and provide advice to You",or damag by malici person to the polic immedi you should obtain a crime refer number not an incid refer number from them if a crime has been commit carri out temporari repair to the properti insur to prevent further loss pleas retain all invoic for work carri out rememb if you do not have your own contractor call the busi emerg assist telephon no on your schedul to arrang for an approv contractor to effect repair ani time of the day or night notifi us of ani claim or ani incid which may lead to a claim as soon as possibl the sooner we are involv the more opportun we have to resolv the claim to your satisfact you must notifi us within seven day if the incid relat to damag by riot civil commot labour or polit disturb malici person theft or attempt theft ensur that ani letter or notic receiv is sent to us immedi unansw and unacknowledg you must also send us unansw and unacknowledg ani written claim writ summon or other document relat to a claim and tell us of ani pend prosecut coron inquest or fatal accid inquiri and give us full detail of ani verbal claim made against you ani bodili injuri to an employe should be report to us regardless of whether a formal claim has been made against you we can then decid whether we need to investig and provid advic to you,"or damage by malicious person to the police immediately 
 you should obtain a crime reference number not an incident 
 reference number from they if a crime have be commit 
 carry out temporary repair to the property insure to 
 prevent further loss please retain all invoice for work 
 carry out remember if you do not have your own 
 contractor call the Business Emergency assistance 
 telephone no on your Schedule to arrange for an approve 
 contractor to effect repair any time of the day or night 
 notify Us of any claim or any incident which may lead to a 
 claim as soon as possible the soon we be involve the 
 more opportunity we have to resolve the claim to your 
 satisfaction you must notify we within seven day if the 
 incident relate to damage by riot civil commotion labour or 
 political disturbance malicious person theft or attempt 
 theft 
 Ensure that any letter or notice receive be send to Us 
 immediately unanswered and unacknowledged you must 
 also send we unanswered and unacknowledged any write 
 claim writ summon or other document relate to a claim 
 and tell we of any pende prosecution coroner ’s inquest or 
 fatal accident inquiry and give we full detail of any verbal 
 claim make against you 
 any Bodily Injury to an employee should be report to Us 
 regardless of whether a formal claim have be make against 
 you we can then decide whether we need to investigate 
 and provide advice to you","['a', 'a', 'a', 'a', 'a', 'accident', 'advice', 'against', 'against', 'all', 'also', 'an', 'an', 'an', 'and', 'and', 'and', 'and', 'and', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'any', 'approve', 'arrange', 'as', 'as', 'assistance', 'attempt', 'be', 'be', 'be', 'be', 'be', 'bodily', 'business', 'by', 'by', 'call', 'can', 'carry', 'carry', 'civil', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'commit', 'commotion', 'contractor', 'contractor', 'coroner', 'crime', 'crime', 'damage', 'damage', 'day', 'day', 'decide', 'detail', 'disturbance', 'do', 'document', 'effect', 'emergency', 'employee', 'ensure', 'fatal', 'for', 'for', 'formal', 'from', 'full', 'further', 'give', 'have', 'have', 'have', 'have', 'if', 'if', 'if', 'immediately', 'immediately', 'incident', 'incident', 'incident', 'injury', 'inquest', 'inquiry', 'insure', 'investigate', 'invoice', 'involve', 'labour', 'lead', 'letter', 'loss', 'make', 'make', 'malicious', 'malicious', 'may', 'more', 'must', 'must', 'need', 'night', 'no', 'not', 'not', 'notice', 'notify', 'notify', 'number', 'number', 'obtain', 'of', 'of', 'of', 'of', 'of', 'on', 'opportunity', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'other', 'out', 'out', 'own', 'pende', 'person', 'person', 'please', 'police', 'political', 'possible', 'prevent', 'property', 'prosecution', 'provide', 'receive', 'reference', 'reference', 'regardless', 'relate', 'relate', 'remember', 'repair', 'repair', 'report', 'resolve', 'retain', 'riot', 'satisfaction', 'schedule', 'send', 'send', 'seven', 'should', 'should', 'soon', 'soon', 'summon', 'telephone', 'tell', 'temporary', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'theft', 'theft', 'then', 'they', 'time', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'unacknowledged', 'unacknowledged', 'unanswered', 'unanswered', 'us', 'us', 'us', 'verbal', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'whether', 'whether', 'which', 'within', 'work', 'writ', 'write', 'you', 'you', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your', '’s']","['a', 'a', 'a', 'a', 'a', 'accid', 'advic', 'against', 'against', 'all', 'also', 'an', 'an', 'an', 'and', 'and', 'and', 'and', 'and', 'ani', 'ani', 'ani', 'ani', 'ani', 'ani', 'ani', 'ani', 'approv', 'are', 'arrang', 'as', 'as', 'assist', 'attempt', 'be', 'been', 'been', 'bodili', 'busi', 'by', 'by', 'call', 'can', 'carri', 'carri', 'civil', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'commit', 'commot', 'contractor', 'contractor', 'coron', 'crime', 'crime', 'damag', 'damag', 'day', 'day', 'decid', 'detail', 'disturb', 'do', 'document', 'effect', 'emerg', 'employe', 'ensur', 'fatal', 'for', 'for', 'formal', 'from', 'full', 'further', 'give', 'has', 'has', 'have', 'have', 'if', 'if', 'if', 'immedi', 'immedi', 'incid', 'incid', 'incid', 'injuri', 'inquest', 'inquiri', 'insur', 'investig', 'invoic', 'involv', 'is', 'labour', 'lead', 'letter', 'loss', 'made', 'made', 'malici', 'malici', 'may', 'more', 'must', 'must', 'need', 'night', 'no', 'not', 'not', 'notic', 'notifi', 'notifi', 'number', 'number', 'obtain', 'of', 'of', 'of', 'of', 'of', 'on', 'opportun', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'other', 'out', 'out', 'own', 'pend', 'person', 'person', 'pleas', 'polic', 'polit', 'possibl', 'prevent', 'properti', 'prosecut', 'provid', 'receiv', 'refer', 'refer', 'regardless', 'relat', 'relat', 'rememb', 'repair', 'repair', 'report', 'resolv', 'retain', 'riot', 'satisfact', 'schedul', 'send', 'sent', 'seven', 'should', 'should', 'soon', 'sooner', 'summon', 'telephon', 'tell', 'temporari', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'theft', 'theft', 'them', 'then', 'time', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'unacknowledg', 'unacknowledg', 'unansw', 'unansw', 'us', 'us', 'us', 'us', 'us', 'us', 'us', 'verbal', 'we', 'we', 'we', 'we', 'whether', 'whether', 'which', 'within', 'work', 'writ', 'written', 'you', 'you', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your']"
"Legal Expenses and Rent Guarantee Insurance is provided by Arc
Legal Assistance Ltd on behalf of AmTrust Europe Limited",legal expens and rent guarante insur is provid by arc legal assist ltd on behalf of amtrust europ limit,"legal Expenses and Rent Guarantee Insurance be provide by Arc 
 Legal Assistance Ltd on behalf of AmTrust Europe Limited","['amtrust', 'and', 'arc', 'assistance', 'be', 'behalf', 'by', 'europe', 'expenses', 'guarantee', 'insurance', 'legal', 'legal', 'limited', 'ltd', 'of', 'on', 'provide', 'rent']","['amtrust', 'and', 'arc', 'assist', 'behalf', 'by', 'europ', 'expens', 'guarante', 'insur', 'is', 'legal', 'legal', 'limit', 'ltd', 'of', 'on', 'provid', 'rent']"
"If You need to make a legal expenses claim and this section is
shown as being operative on the Schedule please refer to the
Legal Expenses Insurance Section of this Policy for details For all
other claims please contact Us by calling the telephone number
printed on Your Policy Schedule
The claims handler will take full details of the claim and guide You
through the next steps Depending on the value and type of claim
the claims handler may seek help from a loss adjuster Loss
adjusters are independent claims experts who will visit You or a
third party claimant to assist with the assessment of the claim
Once We have been notified of a claim We will tell Your broker
The notification letter gives Your broker the opportunity to become
involved in the claim if either You or they wish Once the claim has
been settled a letter is sent to Your broker confirming settlement
and the amounts paid",if you need to make a legal expens claim and this section is shown as be oper on the schedul pleas refer to the legal expens insur section of this polici for detail for all other claim pleas contact us by call the telephon number print on your polici schedul the claim handler will take full detail of the claim and guid you through the next step depend on the valu and type of claim the claim handler may seek help from a loss adjust loss adjust are independ claim expert who will visit you or a third parti claimant to assist with the assess of the claim onc we have been notifi of a claim we will tell your broker the notif letter give your broker the opportun to becom involv in the claim if either you or they wish onc the claim has been settl a letter is sent to your broker confirm settlement and the amount paid,"if you need to make a legal expense claim and this section be 
 show as be operative on the Schedule please refer to the 
 Legal Expenses Insurance Section of this policy for detail for all 
 other claim please contact we by call the telephone number 
 print on your Policy Schedule 
 the claim handler will take full detail of the claim and guide you 
 through the next step depend on the value and type of claim 
 the claim handler may seek help from a loss adjuster loss 
 adjuster be independent claim expert who will visit you or a 
 third party claimant to assist with the assessment of the claim 
 once we have be notify of a claim we will tell your broker 
 the notification letter give your broker the opportunity to become 
 involve in the claim if either you or they wish once the claim have 
 be settle a letter be send to your broker confirm settlement 
 and the amount pay","['a', 'a', 'a', 'a', 'a', 'adjuster', 'adjuster', 'all', 'amount', 'and', 'and', 'and', 'and', 'as', 'assessment', 'assist', 'be', 'be', 'be', 'be', 'be', 'be', 'become', 'broker', 'broker', 'broker', 'by', 'call', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claimant', 'confirm', 'contact', 'depend', 'detail', 'detail', 'either', 'expense', 'expenses', 'expert', 'for', 'for', 'from', 'full', 'give', 'guide', 'handler', 'handler', 'have', 'have', 'help', 'if', 'if', 'in', 'independent', 'insurance', 'involve', 'legal', 'legal', 'letter', 'letter', 'loss', 'loss', 'make', 'may', 'need', 'next', 'notification', 'notify', 'number', 'of', 'of', 'of', 'of', 'of', 'on', 'on', 'on', 'once', 'once', 'operative', 'opportunity', 'or', 'or', 'other', 'party', 'pay', 'please', 'please', 'policy', 'policy', 'print', 'refer', 'schedule', 'schedule', 'section', 'section', 'seek', 'send', 'settle', 'settlement', 'show', 'step', 'take', 'telephone', 'tell', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'they', 'third', 'this', 'this', 'through', 'to', 'to', 'to', 'to', 'to', 'type', 'value', 'visit', 'we', 'we', 'we', 'who', 'will', 'will', 'will', 'wish', 'with', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your']","['a', 'a', 'a', 'a', 'a', 'adjust', 'adjust', 'all', 'amount', 'and', 'and', 'and', 'and', 'are', 'as', 'assess', 'assist', 'be', 'becom', 'been', 'been', 'broker', 'broker', 'broker', 'by', 'call', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'claimant', 'confirm', 'contact', 'depend', 'detail', 'detail', 'either', 'expens', 'expens', 'expert', 'for', 'for', 'from', 'full', 'give', 'guid', 'handler', 'handler', 'has', 'have', 'help', 'if', 'if', 'in', 'independ', 'insur', 'involv', 'is', 'is', 'legal', 'legal', 'letter', 'letter', 'loss', 'loss', 'make', 'may', 'need', 'next', 'notif', 'notifi', 'number', 'of', 'of', 'of', 'of', 'of', 'on', 'on', 'on', 'onc', 'onc', 'oper', 'opportun', 'or', 'or', 'other', 'paid', 'parti', 'pleas', 'pleas', 'polici', 'polici', 'print', 'refer', 'schedul', 'schedul', 'section', 'section', 'seek', 'sent', 'settl', 'settlement', 'shown', 'step', 'take', 'telephon', 'tell', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'they', 'third', 'this', 'this', 'through', 'to', 'to', 'to', 'to', 'to', 'type', 'us', 'valu', 'visit', 'we', 'we', 'who', 'will', 'will', 'will', 'wish', 'with', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your']"
"• Admit or deny responsibility for any incident involving Bodily
Injury to others or Damage to their property",• admit or deni respons for ani incid involv bodili injuri to other or damag to their properti,"• admit or deny responsibility for any incident involve bodily 
 Injury to other or damage to their property","['admit', 'any', 'bodily', 'damage', 'deny', 'for', 'incident', 'injury', 'involve', 'or', 'or', 'other', 'property', 'responsibility', 'their', 'to', 'to', '•']","['admit', 'ani', 'bodili', 'damag', 'deni', 'for', 'incid', 'injuri', 'involv', 'or', 'or', 'other', 'properti', 'respons', 'their', 'to', 'to', '•']"
"Replacement service
We have a number of suppliers that can repair the Property
Insured or replace items lost stolen or damaged beyond
repair If one of Our suppliers is used You will not need to
obtain estimates and We will settle directly with the supplier
You will be responsible for the payment of any applicable
Excess You will only be responsible for payment of the VAT
element if You are VAT registered You will be invoiced
accordingly",replac servic we have a number of supplier that can repair the properti insur or replac item lost stolen or damag beyond repair if one of our supplier is use you will not need to obtain estim and we will settl direct with the supplier you will be respons for the payment of ani applic excess you will onli be respons for payment of the vat element if you are vat regist you will be invoic accord,"replacement service 
 we have a number of supplier that can repair the property 
 insure or replace item lose steal or damage beyond 
 repair if one of our supplier be use you will not need to 
 obtain estimate and we will settle directly with the supplier 
 you will be responsible for the payment of any applicable 
 Excess you will only be responsible for payment of the VAT 
 element if you be VAT register you will be invoice 
 accordingly","['a', 'accordingly', 'and', 'any', 'applicable', 'be', 'be', 'be', 'be', 'be', 'beyond', 'can', 'damage', 'directly', 'element', 'estimate', 'excess', 'for', 'for', 'have', 'if', 'if', 'insure', 'invoice', 'item', 'lose', 'need', 'not', 'number', 'obtain', 'of', 'of', 'of', 'of', 'one', 'only', 'or', 'or', 'our', 'payment', 'payment', 'property', 'register', 'repair', 'repair', 'replace', 'replacement', 'responsible', 'responsible', 'service', 'settle', 'steal', 'supplier', 'supplier', 'supplier', 'that', 'the', 'the', 'the', 'the', 'to', 'use', 'vat', 'vat', 'we', 'we', 'will', 'will', 'will', 'will', 'will', 'with', 'you', 'you', 'you', 'you', 'you']","['a', 'accord', 'and', 'ani', 'applic', 'are', 'be', 'be', 'be', 'beyond', 'can', 'damag', 'direct', 'element', 'estim', 'excess', 'for', 'for', 'have', 'if', 'if', 'insur', 'invoic', 'is', 'item', 'lost', 'need', 'not', 'number', 'obtain', 'of', 'of', 'of', 'of', 'one', 'onli', 'or', 'or', 'our', 'payment', 'payment', 'properti', 'regist', 'repair', 'repair', 'replac', 'replac', 'respons', 'respons', 'servic', 'settl', 'stolen', 'supplier', 'supplier', 'supplier', 'that', 'the', 'the', 'the', 'the', 'to', 'use', 'vat', 'vat', 'we', 'we', 'will', 'will', 'will', 'will', 'will', 'with', 'you', 'you', 'you', 'you', 'you']"
